movieId,moviePoster
177,https://upload.wikimedia.org/wikipedia/en/7/75/Gang_Leader_2019_film_poster.jpg
178,https://upload.wikimedia.org/wikipedia/en/0/00/Bujjigaadu_poster.jpg
179,https://upload.wikimedia.org/wikipedia/en/9/9f/Sey_telugu_film.jpg
180,https://upload.wikimedia.org/wikipedia/en/e/e6/Yevade_Subramanyam_first_poster.jpg
181,https://upload.wikimedia.org/wikipedia/en/9/95/Mathu_Vadalara.jpg
182,https://upload.wikimedia.org/wikipedia/en/3/30/Katamarayudu_poster.jpg
183,https://upload.wikimedia.org/wikipedia/en/6/6d/Maari_2.jpg
184,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Gautamiputra_Satakarni_%28film%29.jpg/330px-Gautamiputra_Satakarni_%28film%29.jpg
185,https://upload.wikimedia.org/wikipedia/en/9/95/RX100_film_poster.jpg
186,https://upload.wikimedia.org/wikipedia/en/f/f4/A_Aa_Telugu_movie_poster.jpg
187,https://upload.wikimedia.org/wikipedia/en/c/c4/Aalavandhan.jpg
188,https://upload.wikimedia.org/wikipedia/en/c/c6/F2_Fun_and_Frustration.jpg
189,https://upload.wikimedia.org/wikipedia/en/6/68/The_House_Next_Door_-_Poster.jpg
190,https://upload.wikimedia.org/wikipedia/en/5/53/Krishna_Gadi_Veera_Prema_Gaadha_Telugu_poster.jpg
191,https://upload.wikimedia.org/wikipedia/en/c/cb/Prince_poster.jpg
192,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Sankarabharanam.jpg/330px-Sankarabharanam.jpg
193,https://upload.wikimedia.org/wikipedia/en/d/d9/Thoongaa_Vanam.jpg
194,https://upload.wikimedia.org/wikipedia/en/a/a8/Govindudu_Andarivadele_poster.jpg
195,https://upload.wikimedia.org/wikipedia/en/c/c1/Anand2004film.jpg
196,https://upload.wikimedia.org/wikipedia/en/7/78/Raja_Kumarudu.jpg
197,https://upload.wikimedia.org/wikipedia/en/0/09/Baba_poster.jpg
198,https://upload.wikimedia.org/wikipedia/en/8/8e/Dammu_poster.jpg
199,https://upload.wikimedia.org/wikipedia/en/f/ff/Ramayya_Vasthavayya_poster.jpg
